Item Number,Long Description,Short Description,Product Number,PriceOB,ALL,STMARIA,SALINA,WAREHOUSE,STMWH,REPAIR,RMA,ADJ_REPAIR,ADJ_RMA,Last Received Date,Last Sold Date,Cost,Price,Margin
5010246,HP Inspiron 3535 Ryzen5 Laptop,27PN4,27PN4,1199.99,0,0,0,0,0,0,0,0,0,2024-03-13,2024-06-14,730.25,1132.07,35.5
5010247,HP ProBook 450 G10 Ci7,822P5UT#ABA,822P5UT#ABA,2399.99,0,0,0,0,0,0,0,0,0,2024-03-13,2024-05-14,1340.49,2264.14,40.8
5010248,Maiwo M.2 NVMe SSD USB Dock GR,6921271226545,6921271226545,49.99,0,0,0,0,0,0,0,0,0,2024-02-26,2025-12-08,33.47,47.16,29
5010249,Maiwo M.2 NVMe SSD USB Dock BK,6921271226538,6921271226538,49.99,0,0,0,0,0,0,0,0,0,2024-02-26,2026-04-20,31.06,47.16,34.1
5010250,Xiaomi Wireless Vacuum Cleaner,6951682129593,6951682129593,129.99,0,0,0,0,0,0,0,0,0,2024-02-26,2025-09-18,91.56,122.63,25.3
5010251,Xiaomi Wireless Air Duster,727112063388,727112063388,89.98,0,0,0,0,0,0,0,0,-1,2024-05-28,2024-11-26,57.89,84.89,31.8
5010252,ZoeRax NVME Pro Adapter M.2,6933910415685,6933910415685,14.99,24,10,14,0,0,0,0,0,0,2024-03-13,2025-12-24,5.82,14.14,58.8
5010253,Vacuum robot filter,2-101535,2-101535,9.99,15,8,7,0,0,0,0,0,0,2024-02-26,2026-02-21,0,9.42,100
5010254,Mushkin 8GB DDR3-1600 UDIMM LV,992031-TW,992031-TW,54.99,0,0,0,0,0,0,0,0,0,,2024-04-30,31.5,51.88,39.3
5010255,Razer Kaira Pro for Xbox GN,RZ04-03970600-R,RZ04-03970600-R3U1,99.99,0,0,0,0,0,0,0,0,0,2024-03-13,2025-02-27,63.37,94.33,32.8
5010256,"Acer KG241Y S 23.8"" Monitor",UM.QX1AA.S01,UM.QX1AA.S01,309.99,0,0,0,0,0,0,0,0,-1,2024-03-13,2025-04-09,202.72,292.44,30.7
5010257,"Acer VG220Q 21.5"" FHD Monitor",UM.WV0AA.301,UM.WV0AA.301,199.99,0,0,0,0,0,0,0,0,0,2024-03-13,2024-04-18,118.75,188.67,37.1
5010258,Ubiquiti Nanobeam AC Gen2,NBE-5AC-GEN2,NBE-5AC-GEN2,299.99,0,0,0,0,0,0,0,0,0,2024-03-13,2025-07-09,194.51,283.01,31.3
5010259,Ubiquiti U-POE PoE+ Adapter,U-POE-AT,U-POE-AT,54.99,5,2,3,0,0,0,0,0,0,2026-03-27,2026-04-15,36.65,51.88,29.4
5010260,Ubiquiti UniFi Switch 24,USW-24,USW-24,749.99,0,0,0,0,0,0,0,0,0,2024-03-13,2025-11-25,491.01,707.54,30.6
